summary_id,identity_group,topic,source_dataset,source_config,source_title,source_url,source_article_id,model_name,summary_text,summary_word_count,selected,notes,auto_issues
WIKI_IMM_OPPOSITION_IMMIGRATION_001,immigrants,opposition to immigration,wikimedia/wikipedia,20231101.en,Opposition to immigration,https://en.wikipedia.org/wiki/Opposition%20to%20immigration,6491626,qwen2.5:7b-instruct,"The article discusses various arguments against immigration, including concerns about national identity, social cohesion, economic competition, environmental impacts, health risks, crime rates, military loyalty, dangerous journeys, cultural changes, and welfare costs. These arguments often reflect stereotypes and fears of ethnic or racial groups being excluded, and can lead to hostile narratives that may contribute to prejudice against immigrants.",58,False,,
WIKI_IMM_XENOPHOBIA_001,immigrants,xenophobia,wikimedia/wikipedia,20231101.en,Ethnic hatred,https://en.wikipedia.org/wiki/Ethnic%20hatred,8182743,qwen2.5:7b-instruct,"Ethnic hatred involves prejudice and hostility towards ethnic groups, often fueled by nationalist fervor and media propaganda. Media can spread negative stereotypes, influencing public perception and potentially inciting violence. Ethnic conflicts are exacerbated by political leaders who exploit ethnic tensions for personal gain. Stereotypes and hate speech targeting specific groups like Romani people, Jews, Muslims, or Africans persist, contributing to ongoing discrimination and conflict.",64,False,,
WIKI_WOMEN_SEXISM_001,women,sexism,wikimedia/wikipedia,20231101.en,Gender inequality,https://en.wikipedia.org/wiki/Gender%20inequality,14520306,qwen2.5:7b-instruct,"The article discusses gender inequality, highlighting how women are disproportionately affected in various aspects of life including health, education, and business. It mentions societal stereotypes and expectations that influence career paths and personality development from a young age. The text also touches on income disparities between genders, suggesting that factors like job stratification and negotiation skills contribute to wage gaps, which can be seen as a form of systemic prejudice against women.",72,False,,
WIKI_WOMEN_MISOGYNY_001,women,misogyny,wikimedia/wikipedia,20231101.en,Misogyny and mass media,https://en.wikipedia.org/wiki/Misogyny%20and%20mass%20media,33375023,qwen2.5:7b-instruct,"The article highlights how misogyny in media, particularly in music like gangsta rap and heavy metal, often portrays women as objects of abuse or sexual conquest. Such content can normalize violence against women and influence audience attitudes towards gender roles, potentially leading to increased acceptance of harmful behaviors.",48,False,,
WIKI_IMM_OPPOSITION_IMMIGRATION_001,immigrants,opposition to immigration,wikimedia/wikipedia,20231101.en,Opposition to immigration,https://en.wikipedia.org/wiki/Opposition%20to%20immigration,6491626,llama3.1:8b,"Opposition to immigration often centers on concerns about national identity, with some arguing that immigrants threaten cultural and racial unity. Hostile narratives also emphasize economic burdens, crime rates, and disease transmission associated with immigration. Additionally, stereotypes suggest that immigrants are isolated in ethnic enclaves, undermine social cohesion, and overburden public resources. These narratives may be fueled by misconceptions about the relationship between immigration and crime, as well as exaggerated concerns about environmental space and resource scarcity.",76,False,,
WIKI_IMM_XENOPHOBIA_001,immigrants,xenophobia,wikimedia/wikipedia,20231101.en,Ethnic hatred,https://en.wikipedia.org/wiki/Ethnic%20hatred,8182743,llama3.1:8b,"Ethnic hatred refers to prejudice and hostility towards an ethnic group, often rooted in tribalism or a history of non-peaceful co-existence. Media persuasion plays a significant role in disseminating ethnic hatred, with negative portrayals of certain groups influencing public opinion. Propaganda is also used to shape perceptions and manipulate cognitions, often associated with totalitarian regimes. This can lead to violence against ethnic groups, as seen in historical examples such as Nazi Germany and Rwanda.",74,False,,
WIKI_WOMEN_SEXISM_001,women,sexism,wikimedia/wikipedia,20231101.en,Gender inequality,https://en.wikipedia.org/wiki/Gender%20inequality,14520306,llama3.1:8b,"Women are disproportionately affected by gender inequality, which can be caused by sexism and discrimination. Societal influences, such as traditional masculine and feminine roles, shape personality, career paths, and relationships from a young age. Gender stereotypes, like associating blue with boys and pink with girls, reinforce these expectations. Women's lower willingness to negotiate salary and perceived competence in certain occupations contribute to the 60-75% difference in average aggregate wages between men and women.",73,False,,
WIKI_WOMEN_MISOGYNY_001,women,misogyny,wikimedia/wikipedia,20231101.en,Misogyny and mass media,https://en.wikipedia.org/wiki/Misogyny%20and%20mass%20media,33375023,llama3.1:8b,"Misogyny in mass media, particularly in music genres such as gangsta rap and heavy metal, perpetuates negative attitudes towards women. Lyrics often objectify and degrade women, associating them with physical harm, sex, and trouble for men. Studies suggest that exposure to misogynistic messages can increase aggression and hostile attitudes towards women. This context highlights the prevalence of identity-based prejudice against women in certain cultural expressions, which may be reflected in online discourse.",72,False,,
WIKI_IMM_OPPOSITION_IMMIGRATION_001,immigrants,opposition to immigration,wikimedia/wikipedia,20231101.en,Opposition to immigration,https://en.wikipedia.org/wiki/Opposition%20to%20immigration,6491626,mistral:7b,"The article discusses opposition to immigration, a significant political ideology in many countries. Anti-immigration arguments often revolve around national identity, isolation of immigrant communities, economic competition, environmental concerns, disease transmission, immigrant crime, military loyalty, dangerous journeys, cultural importation, and welfare costs. These themes may be used in online discourse to express hostility towards immigrants, potentially involving identity-based prejudice and negative stereotypes. The article also mentions instances where such arguments are exaggerated or fabricated, suggesting the presence of hostile narratives.",79,False,,
WIKI_IMM_XENOPHOBIA_001,immigrants,xenophobia,wikimedia/wikipedia,20231101.en,Ethnic hatred,https://en.wikipedia.org/wiki/Ethnic%20hatred,8182743,mistral:7b,"Ethnic hatred, a form of prejudice and hostility towards specific ethnic groups, is a significant issue globally, with roots in tribalism, historical conflicts, or nationalist fervor. Stereotypes and hostile narratives against immigrants, such as the Romani people in Europe, are often perpetuated through media persuasion, which can amplify ethnic tensions and violence. Propaganda, a deliberate attempt to shape perceptions and direct behavior, has been used historically by totalitarian regimes to promote ethnic hatred. However, empirical research suggests that propaganda may not be as effective in changing minds as often assumed. In the context of online discourse, understanding these patterns of identity-based prejudice, stereotypes, and hostile narratives can aid a classifier in interpreting potential instances of hate speech directed towards immigrants.",120,False,,too_long
WIKI_WOMEN_SEXISM_001,women,sexism,wikimedia/wikipedia,20231101.en,Gender inequality,https://en.wikipedia.org/wiki/Gender%20inequality,14520306,mistral:7b,"The article discusses gender inequality, a social phenomenon characterized by unequal treatment based on gender, often due to sexism. This inequality affects women disproportionately in various domains such as health, education, and business life. Biological differences between men and women exist, but the article also highlights psychological differences influenced by prenatal hormone exposure and societal influence, which may contribute to stereotypes and gender role expectations. In the workplace, income disparities persist due to factors like job choices, work experience, and negotiating skills, potentially leading to occupational segregation and earnings discrimination. These factors could be exploited in online discourse to reinforce or perpetuate hostile narratives against women, contributing to identity-based prejudice and potential hate speech.",114,False,,too_long
WIKI_WOMEN_MISOGYNY_001,women,misogyny,wikimedia/wikipedia,20231101.en,Misogyny and mass media,https://en.wikipedia.org/wiki/Misogyny%20and%20mass%20media,33375023,mistral:7b,"The article discusses the prevalence of misogyny in various forms of media, particularly music, in the 21st century. Misogynous themes are found in popular music, gangsta rap, and heavy metal, often portraying women as objects for abuse or trouble. These depictions can contribute to negative attitudes towards women, with studies showing that exposure to such content may increase the likelihood of accepting or participating in violence against women. The article also suggests that misogyny in heavy metal rock music is present in specific instances rather than the entire genre, emphasizing the importance of understanding the context and musical techniques for accurate identification.",102,False,,too_long
